,Unnamed: 0,word_us,word_length,n_phon,nonword,n_phon_nw,ipa_words,ipa_nonwords,ipa_words_shuffle_0,ipa_nonwords_shuffle_0,ipa_words_shuffle_1,ipa_nonwords_shuffle_1,ipa_words_shuffle_2,ipa_nonwords_shuffle_2,ipa_words_shuffle_3,ipa_nonwords_shuffle_3,ipa_words_shuffle_4,ipa_nonwords_shuffle_4
31,31,absentminded,12,12,absontmenden,12,æbsəntmaɪndᵻd,ɐbsɔntmɛndən,tɪbæᵻdnamnəds,ɛnsdnnətbɐmɔ,ɪəasdtbnmdᵻæn,ɐbsdmɔnntnɛə,bndnᵻmtsdəæɪa,əbɐɛsdnmnɔtn,nᵻədbaɪdtsnæm,nɐdtəbɛɔnsmn,nətaɪsnmdæbdᵻ,dmnnɐbəɔstnɛ
32,32,absolute,8,7,absulate,8,æbsəluːt,ɐbsjʊleɪt,ləːætbsu,ɐʊtejlɪsb,bsːəætlu,lʊɐtbjɪse,æsəulbːt,ɪtʊbjɐles,ːlætbuəs,lɪʊejtsbɐ,tːəublsæ,ɪlbseɐʊtj
33,33,absolutely,10,10,ablocurnmy,10,æbsəluːtli,ɐblɑːkɜːnmi,æulsːlibət,ɑinmːɜblːkɐ,ælːiulətbs,bɜɐlːmikːɑn,iəbsulælːt,kiːɜːblmɑnɐ,lːitæləbus,ːːɜbkmɐɑinl,ætiubləlːs,ːnːɜmiɐɑblk
34,34,absorb,6,6,aypent,5,ɐbsɔːɹb,aɪpənt,ɹbɐbːɔs,pɪntəa,sɐbɔːɹb,təaɪpn,ɐsːbbɹɔ,ɪantəp,bɐɔːbsɹ,ənatɪp,bbɔɹɐsː,ɪtəpna
35,35,abstain,7,6,agstorn,7,ɐbsteɪn,æɡstɔːɹn,bɪsɐten,ɔtːænɹsɡ,ɐesntɪb,tɹnːsɡɔæ,ɪbnsetɐ,ːænɹɡtɔs,neɪtɐsb,ɡnɔstːæɹ,nɐstɪeb,nːɹɔsɡtæ
36,36,abstract,8,8,adstrome,7,æbstɹækt,ɐdstɹoʊm,tækæɹbst,ʊoɹdmtɐs,tææbtɹks,otsɹmɐdʊ,æbktɹæts,ʊdɐsɹtmo,kɹætætsb,ɐtʊosdmɹ,ɹtbætæks,ʊsmoɐdtɹ
37,37,abstracts,9,9,adstroles,8,ɐbstɹækts,ɐdstɹoʊlz,ssætkɹtbɐ,ɹzoslɐtʊd,ɹbsttksæɐ,ɹɐʊstldzo,ɐkɹbstæts,zlʊdɹoɐst,sbɐtɹækst,ɹszdlɐtoʊ,ɐættɹbssk,ʊɹsozdɐlt
38,38,absurd,6,6,adsord,6,ɐbsɜːd,ɐdsɔːɹd,bɐdːsɜ,sɐɹdːdɔ,dsːɜɐb,ɐːddsɔɹ,sɐɜbːd,ɐɔsːddɹ,dbːɜsɐ,dɹsɐdːɔ,dbːsɜɐ,dːsɐɹdɔ
39,39,abundant,8,8,abindart,8,ɐbʌndənt,æbaɪndɑːɹt,bndətɐʌn,dætaɹːnbɑɪ,nɐəndtbʌ,tɪɹnɑbaːdæ,bnndʌɐtə,tːɑdɹnaɪbæ,ntbdʌɐnə,bːtɹdɪɑnæa,nəʌtdɐbn,tdɪɑnæbɹaː
40,40,abuse,5,5,amose,4,ɐbjuːs,æmoʊs,jɐsːbu,smæʊo,sːɐjbu,smʊoæ,ɐbusjː,omæʊs,ːusbɐj,msæoʊ,jsubːɐ,æʊsmo
41,41,academic,8,8,acugapid,8,ækədɛmɪk,ɐkjuːɡɐpɪd,ɪæədkmɛk,ɡkpdujɪɐːɐ,kmɛækədɪ,pɐɪɡːudɐkj,dmɪɛəkkæ,ɪkɡɐːujpdɐ,kəɛɪmkæd,ɪpjuɡːɐɐkd,kɛædmkəɪ,pɐːɐɪɡjduk
42,42,academy,7,7,ametegy,7,ɐkædəmi,æmɪɾədʒi,imkæɐəd,ɪɾdmiæʒə,dɐækimə,iʒɾæmdəɪ,ɐdæiəmk,ɪiəɾdʒæm,əikmædɐ,mʒɾiɪəæd,dækiəmɐ,æʒimədɾɪ
43,43,accelerate,10,9,acmilerase,9,ɐksɛlɚɹeɪt,ɐkmaɪlɚɹeɪz,eɐsɛɪkɹltɚ,ɐɪlmɪɚkaeɹz,ktlɪeɹɐɛsɚ,ɐelɚzmaɪkɹɪ,stɪɛɹelkɐɚ,ɹaɪlkɚmzɐeɪ,ɛeltɐɪɚksɹ,ɪkɪezɐɹlɚma,tɐɹeɪklɛɚs,ɐaɪzɹmlɚɪke
44,44,accent,6,6,aurent,5,æksənt,ɔːɹənt,nækəts,tnːɔɹə,æstkən,nɹɔtəː,nætsək,ɹəːɔnt,stənkæ,ətnːɹɔ,tknsæə,ːɹntɔə
45,45,accept,6,6,accube,5,ɐksɛpt,ɐkjuːb,ɐɛkspt,ɐkujːb,ɛsktɐp,ːjbukɐ,ɐɛkspt,ːkubɐj,ktpɐɛs,bːuɐjk,ptɐkɛs,uːjbkɐ
46,46,acceptance,10,9,acciptarce,8,ɐksɛptəns,ɐkɪptɑːɹs,kɛpəsstɐn,tɹːɑɪspkɐ,tkpsɐsəɛn,ɪːsɐpkɹɑt,təkɐsnsɛp,ɑktɹːɪpɐs,tpɐnksəɛs,tɐsɑːɹɪkp,ɐɛntpsəks,ɐɑɹtːɪpks
47,47,access,6,5,addess,4,æksɛs,ædɛs,sækɛs,dsæɛ,ɛkæss,dsɛæ,ksɛsæ,sɛdæ,ɛsksæ,sɛæd,ssɛæk,æsdɛ
48,48,accessible,10,9,acmossibly,9,æksɛsəbəl,ɐkmɔsᵻbli,klsbæsəəɛ,iᵻsbɐlkmɔ,ɛsbæəəslk,mbᵻɔksliɐ,əbɛlsæəsk,miɔsbᵻkɐl,lkəsæəsɛb,iɐlɔmᵻbks,ɛæssləəkb,mslɔɐkbᵻi
49,49,accessory,9,8,acmissony,8,ɐksɛsɚɹi,ɐkmɪsəni,ɐsiɛɚkɹs,ksimnɪəɐ,sɹskɚɛɐi,ɪmiənskɐ,sɚkɐɛɹsi,nəkimsɪɐ,ɚkiɐɛssɹ,ənmɐskiɪ,ɹɛsɐskɚi,imɐɪsnək
50,50,accident,8,8,accodert,7,æksɪdənt,ɐkoʊdɜːt,sntkəædɪ,ɐtkdɜʊːo,kɪnədæts,ɐtʊodɜːk,əkæɪtnds,ɜɐoːdktʊ,ntsæədkɪ,ɜotdɐkʊː,ədæknsɪt,tɜʊodɐkː
51,51,accidental,10,9,acnidencal,11,æksɪdɛntəl,ɐknaɪdəŋkəl,ləɛɪdæknst,əkaəndɐɪŋlk,nɪtlkæəɛsd,klɪakŋdəəɐn,dɪkəɛnlstæ,ləkdakŋəɐnɪ,ɛknsdtəlɪæ,əkŋɪlkdəanɐ,ndɪɛæsəltk,əəaŋdɐlkɪkn
52,52,acclamation,11,9,acbranative,10,ɐklɐmeɪʃən,ɐkbɹænətɪv,emɪlɐknʃɐə,nɪvɹtbəɐæk,knɐɐməʃɪel,ɪɐtbnvɹkəæ,ɐʃɐlɪmneək,vtnɹæbkəɪɐ,lkəʃmnɪeɐɐ,ktɪvəbænɐɹ,ɐkɪɐʃeəmnl,ɹəɐkævtnbɪ
53,53,accommodate,11,8,accorlomate,9,ɐkɑːmədeɪt,ɐkɔːɹləmeɪt,deːɑkɪmtəɐ,ekɪəɐɹɔtmlː,medːtɐəɪɑk,ɹmɪəltːekɔɐ,ɑedɪːɐmktə,kɐltɔemɪɹːə,etmkɑɪəːɐd,mɔɐeltːkɹəɪ,dkmeətɑɐːɪ,ɐekːmɔtəɹɪl
54,54,accommodation,13,10,accomrogation,11,ɐkɑːmədeɪʃən,ɐkɑːmɹəɡeɪʃən,ɐɑdɪnemːəəkʃ,ɹɪɡːəkʃɑeənmɐ,əeəʃndɪːɐkɑm,ɹʃɡməɑːɪnəkeɐ,kndɑmːeɐɪəʃə,mnɡəɹəɪːeɐʃkɑ,dɑknəɪəɐeʃːm,enkɐʃəɑəmɹɡːɪ,kdɐnəɑʃmeːɪə,ʃnəmɹːɑkɪeɡəɐ
55,55,accompaniment,13,12,accombarimics,12,ɐkʌmpɐnɪmənt,ɐkɑːmbɑːɹɹɪmɪks,ɐʌpmmɪətnnkɐ,ːmɪsɹbɐːkɑkɑmɹɪ,pmɪkməɐnntʌɐ,ːmɹmɑbksɪːɹɑkɐɪ,nɪɐtkmmpʌɐnə,ɹɐɪmɑɹkmsbːkːɪɑ,nkɪətɐmɐmʌnp,ɐɑɹkɪɑmɪːɹːsmbk,ətʌpknmnɐɐɪm,ːsmɑɐɹɹmɪːɑɪbkk
56,56,accomplice,10,8,accorplace,8,ɐkɑːmplɪs,ɐkɔːɹpleɪs,lɑmkpsːɐɪ,ɹsɔeɐlkpɪː,ɪmɐːsɑplk,ɹɐpːlɪsɔke,ːkmlɐɑspɪ,ːspɐkeɹɪlɔ,sɐkpːlɑmɪ,ːleskɹɔɪpɐ,lmɐskpɑːɪ,ɪlɔɹkːsepɐ
57,57,accomplish,10,8,accorplush,8,ɐkɑːmplɪʃ,ɐkɔːɹplʌʃ,pːmɐɑlkɪʃ,ʃpɹʌːɔklɐ,mːlɑɐɪpkʃ,ʌɐlːɹpkɔʃ,ɐɪpɑːkʃml,ʃplɐɔɹʌːk,kmːɑɪplʃɐ,ːʃɹplɔkʌɐ,ɑkmpːʃlɐɪ,ɹʌʃlɐkpːɔ
58,58,accord,6,5,audord,5,ɐkɔːɹd,ɔːdɔːɹd,ɐɔɹkːd,ɹɔɔddːː,ɔkɐdɹː,dɹɔdɔːː,ːɹdɐkɔ,ɹːdɔːɔd,dɔɹkːɐ,ɔdːdːɹɔ,kːɐɹdɔ,ɔdɔːdɹː
59,59,accordance,10,7,accardarce,8,ɐkɔːɹdəns,ɐkɑːɹdɑːɹs,kɹsdɐːənɔ,ɑːkːsdɑɐɹɹ,ːədsnɔɐkɹ,ɑɐɹːɑkɹdːs,sɹnɐkdəɔː,ɹːkɑɐsɹdːɑ,ɐsːkɔɹnəd,ɹdːɹɑːsɐɑk,nɔdsɹɐəkː,ːkɹdsɐɹɑɑː
60,60,accordion,9,8,accurrian,7,ɐkɔːɹdiən,ɐkɜːɹiən,iɹːkɔnɐəd,ɜɹiəɐːnk,ːkdɹiɔəɐn,ɹɐɜiːnək,ɹnkɐɔiːdə,kəːɹɐɜin,ːkɐədɹinɔ,əɐnːɜkɹi,iɔndɹkːəɐ,ɹkːɐniəɜ
61,61,account,7,5,aybount,5,ɐkaʊnt,aɪbaʊnt,nɐkaʊt,nɪtbʊaa,ʊntaɐk,taʊnbaɪ,ɐaʊtnk,ʊɪbtaan,ntaʊɐk,aʊbatnɪ,nʊtkɐa,ɪnabtaʊ
62,62,accountant,10,8,accourtent,8,ɐkaʊntənt,ɐkɜːtənt,tnʊənkaɐt,ntkɜɐtːə,nntɐkʊtaə,ːəkɜntɐt,əaknntʊɐt,tɐːtənkɜ,ɐnaʊkəttn,əknːɐɜtt,kttnəanɐʊ,əntːɜkɐt
63,63,accumulate,10,10,acmacunate,10,ɐkjuːmjʊleɪt,ɐkmækəneɪt,jɐmjkːɪʊleut,ɪknəkmɐæte,mɐɪkuːtʊjjle,eɐmənkæktɪ,ljukmtjɪeːɐʊ,ətknɪæemɐk,ekʊtɪuljmːɐj,mɪtkæəɐnek,jtjeɪːlkɐʊum,kæmkəetɐɪn
64,64,accuracy,8,8,actunary,9,ækjʊɹəsi,æktuːnɛɹi,sʊæijkɹə,ɛiɹutknæː,æjskɹʊəi,iːɹuɛætnk,ʊkjsəæɹi,kænɛtɹiuː,ɹijʊkəsæ,ktæɹuɛiːn,əjiʊkæɹs,ɛuːænktɹi
65,65,accurate,8,7,accorale,6,ækjʊɹət,ɐkɔːɹeɪl,ʊjəkætɹ,ːɪkɹɔeɐl,kɹtʊəæj,lɹɔɐːkeɪ,jʊætkəɹ,ɐɪelɔkɹː,jtʊkæəɹ,eɪɹlɔɐːk,jɹætʊək,ɐkːɔlɹɪe
66,66,accursed,8,7,accarsed,6,ɐkɜːsᵻd,ɐkɑːɹst,ɐɜsdkᵻː,ɹɐsɑtːk,ksːɜᵻdɐ,kɹsɐːtɑ,ᵻskɜːɐd,tɑɹskɐː,ːksdɐᵻɜ,tɑɐːsɹk,ᵻːdɜɐks,ɹtkːɑsɐ
67,67,accusation,10,9,acrabative,9,ækjuːzeɪʃən,ɐkɹæbətɪv,ɪnzkːueæʃəj,ɪɹtbvækɐə,kjuzæːeəɪʃn,ɐbtɪkvɹəæ,ːjuəkneæɪzʃ,əvkɐtɪbæɹ,ekɪnjʃæuzəː,ɐəɹkɪtvbæ,ɪjːkuæznʃeə,æəɐbkɹtɪv
68,68,accuse,6,5,absuse,6,ɐkjuːz,ɐbsuːs,jkɐːzu,bːɐsus,kzjɐːu,busɐːs,zɐkːuj,ːssuɐb,kjɐzuː,bsuːɐs,ukːjɐz,ssuːbɐ
69,69,accuser,7,7,accaser,6,ɐkjuːzɚ,ɐkeɪsɚ,zɐuɚkːj,ɪekɚsɐ,kɐuzːjɚ,ɚskɪɐe,jːkzɚuɐ,ɪɚkeɐs,ukzɐɚːj,kesɐɪɚ,uːkjɐzɚ,kɐesɚɪ
70,70,accustom,8,7,accastim,7,ɐkʌstəm,ɐkæstɪm,əmɐkʌst,stmkɪɐæ,ʌmɐktsə,ɪsɐækmt,ʌətskmɐ,tɪsmkæɐ,ʌmtsɐkə,sɐkæɪtm,ʌstɐəkm,ɐɪmækts
71,71,ace,3,2,ose,2,eɪs,oʊs,eɪs,sʊo,eɪs,ʊso,eɪs,sʊo,esɪ,soʊ,sɪe,oʊs
72,72,ache,4,2,arve,3,eɪk,ɑːɹv,ekɪ,ɹvːɑ,keɪ,ɹːvɑ,keɪ,ɹɑːv,ɪke,ɹːvɑ,ekɪ,ːɑɹv
73,73,achieve,7,4,acleave,5,ɐtʃiːv,ɐkliːv,ːɐvtʃi,ɐvkliː,ːviʃɐt,kliːvɐ,ɐvtiʃː,lɐkivː,viːtʃɐ,ikvːlɐ,ʃtːɐiv,viɐːkl
74,74,acid,4,4,afin,4,æsɪd,ɐfɪn,sɪdæ,ɪfnɐ,æsdɪ,nɐfɪ,ædsɪ,nfɪɐ,æɪsd,ɪɐnf,sdɪæ,fɪnɐ
75,75,acidic,6,6,acudin,6,ɐsɪdɪk,ɐkjuːdɪn,sɐɪɪdk,nuːdkɪɐj,dɪskɪɐ,njdːuɐɪk,sɐɪɪdk,ukɪːnɐdj,ɪɐɪdks,knuɐːɪjd,ɪskɪdɐ,njuɪːɐkd
76,76,acknowledge,11,7,acknouladge,7,ɐknɑːlɪdʒ,ɐknuːlædʒ,knːlʒɐɪdɑ,nuʒːkdæɐl,ʒdɪkɑːɐln,æʒuldknːɐ,ʒɐːɪɑknld,uʒknældːɐ,ʒːlɪɐdnɑk,ædɐːnkluʒ,ʒnɪːɑlkdɐ,ɐækʒːnuld
77,77,acne,4,4,adme,4,ækni,ɐdmɛ,nkæi,mɐɛd,ækni,ɐmdɛ,kinæ,mɛɐd,kniæ,dmɐɛ,niæk,ɐɛdm
78,78,acorn,5,5,acarn,5,eɪkɔːɹn,ɐkɑːɹn,eɔɪnkɹː,nɑːɐɹk,kɹɪeːɔn,nɹkɑɐː,ɪɔɹknːe,ɹɐɑknː,ɹenkɪɔː,ɹɑɐːnk,ɔɹnːekɪ,ɐɑnkɹː
79,79,acoustic,8,7,acrastin,8,ɐkuːstɪk,ɐkɹæstɪn,kːɐtksuɪ,knstæɪɐɹ,tuksɪkɐː,ɹɐnæɪtks,kkːɐɪust,ɐɪnæskɹt,uɪkksːtɐ,ɹkɪsnɐtæ,uɐtskːkɪ,æɐɪnɹkts
80,80,acquaint,8,6,abquotch,6,ɐkweɪnt,ɐbkwɑːtʃ,ɪenɐktw,btɑːwʃkɐ,ekwɪɐnt,ːbwkɐʃɑt,eɪktwɐn,kʃwɑːɐbt,ɪekwtɐn,ɐwʃtɑːkb,keɪnwɐt,wkɑtbːʃɐ
81,81,acquire,7,6,adtrite,6,ɐkwaɪɚ,ɐdtɹaɪt,ɐkaɪwɚ,tɪɹɐtad,kɪawɚɐ,ɐadɪttɹ,wɚɐkaɪ,adttɹɪɐ,akɚwɪɐ,aɹdɪɐtt,kwaɚɐɪ,atɹdɪɐt
82,82,acquisition,11,9,actriditive,10,ɐkwɪsɪʃən,æktɹɪdᵻtɪv,nɪwkəɪɐʃs,kvᵻædttɪɪɹ,ʃɐəwɪkɪns,kᵻɹɪdɪtvæt,ɐʃknsəwɪɪ,tktᵻɪvɹdɪæ,əsɪʃɐnɪkw,kɹætɪdᵻvtɪ,ɪwəsnʃɪkɐ,ɪkæᵻttɪdɹv
83,83,acre,4,4,asco,4,eɪkɚ,ɐskoʊ,ɚɪke,ɐkoʊs,eɚkɪ,okʊsɐ,keɪɚ,oskʊɐ,kɪɚe,ksɐʊo,eɚkɪ,okʊɐs
84,84,acrobat,7,7,acrubit,7,ækɹəbæt,ɐkɹuːbɪt,æɹæətbk,bɐkɪɹːut,ææktbəɹ,bɐtɪukːɹ,æbkɹtəæ,ɹkuɪbɐtː,ætkəɹbæ,ɪkɹːubtɐ,æɹæbtək,ɐɹkːtɪbu
85,85,acrobatic,9,9,acribanic,9,ækɹəbæɾɪk,ækɹɪbænɪk,əbkɪɹæækɾ,ɪbkɹnækæɪ,bɪææɹɾəkk,æbɹæɪkknɪ,ɪbkɹəæɾæk,ɪɪkkɹænæb,ɹkkəɾɪæbæ,ɹɪækknæɪb,ɪɹkbkææɾə,bɹɪænkkɪæ
