,word_us,word_length,n_phon,nonword,n_phon_nw,Unnamed: 5,ipa_words,ipa_nonwords
92,active,6,5,abtain,5,,æktɪv,ɐbteɪn
93,activity,8,8,actiliry,8,,æktɪvᵻɾi,æktɪlaɪɚɹi
94,actor,5,5,abton,5,,æktɚ,ɐbtɑːn
95,actual,6,6,atduac,6,,æktʃuːəl,ætduːæk
96,actuality,9,10,actuority,10,,æktʃuːælᵻɾi,æktʃuːɔːɹᵻɾi
97,actually,8,7,actoarry,7,,æktʃuːəli,æktɔːɹi
98,acute,5,5,amote,4,,ɐkjuːt,æmoʊt
99,adamant,7,7,adomint,7,,ædəmənt,ɐdɑːmɪnt
100,adapt,5,5,agaft,5,,ɐdæpt,æɡæft
101,adaptability,12,12,adaptobalory,12,,ɐdæptəbɪlᵻɾi,ɐdæptəbælɚɹi
102,adaptation,10,9,adaslative,9,,ædæpteɪʃən,ɐdæslətɪv
103,add,3,2,jadd,3,,æd,dʒæd
104,addict,6,5,ambict,6,,ædɪkt,æmbɪkt
105,addiction,9,7,addirtoon,7,,ɐdɪkʃən,ædɚtuːn
106,addition,8,6,addution,7,,ɐdɪʃən,ɐduːʃən
107,additional,10,8,addoleanal,8,,ɐdɪʃənəl,ædoʊlənəl
108,additive,8,6,addutave,6,,ædᵻtɪv,ɐduːɾeɪv
109,address,7,5,affress,5,,ɐdɹɛs,ɐfɹɛs
110,addressee,9,6,addrissoo,6,,ɐdɹɛsiː,ɐdɹɪsuː
111,adequate,8,7,adequite,7,,ædɪkwət,ædɪkwaɪt
112,adjacent,8,7,adjocant,7,,ɐdʒeɪsənt,ɐdʒɑːkənt
113,adjective,9,7,adjictire,8,,ædʒɪktɪv,ɐdʒɪktaɪɚ
114,adjourn,7,5,apnearn,6,,ɐdʒɜːn,ɐpnɪɹn
115,adjust,6,5,abnost,6,,ɐdʒʌst,ɐbnɑːst
116,administer,10,10,admanittan,9,,ɐdmɪnɪstɚ,ɐdmænɪʔn̩
117,administrative,14,13,adminustrotion,13,,ɐdmɪnɪstɹeɪɾɪv,ɐdmɪnəstɹoʊʃən
118,administrator,13,13,adminustrotar,13,,ɐdmɪnɪstɹeɪɾɚ,ɐdmɪnəstɹoʊɾɚ
119,admirable,9,9,adricably,9,,ædmᵻɹəbəl,ɐdɹɪkəbli
120,admiral,7,7,admorel,7,,ædmɜːɹəl,ɐdmɔːɹəl
121,admiration,10,9,adnicative,9,,ædmɚɹeɪʃən,ɐdnɪkətɪv
122,admire,6,6,abmite,5,,ɐdmaɪɚ,ɐbmaɪt
123,admirer,7,8,adminer,7,,ɐdmaɪɚɹɚ,ɐdmɪnɚ
124,admissible,10,9,admiffibly,9,,ɐdmɪsᵻbəl,ɐdmɪfᵻbli
125,admission,9,7,admussoon,7,,ɐdmɪʃən,ɐdməsuːn
126,admit,5,5,abrot,5,,ɐdmɪt,ɐbɹɑːt
127,admittance,10,7,admuttense,8,,ɐdmɪtəns,ɐdmʌtɛns
128,adolescence,11,9,adolindence,10,,ædəlɛsəns,ædəlɪndəns
129,adopt,5,5,adait,4,,ɐdɑːpt,ɐdeɪt
130,adoptive,8,7,adiptare,7,,ɐdɑːptɪv,ædɪptɛɹ
131,adorable,8,8,adanagle,8,,ɐdɔːɹəbəl,ɐdænæɡəl
132,adore,5,5,adose,4,,ɐdɔːɹ,ɐdoʊs
133,adrift,6,6,ascoft,6,,ɐdɹɪft,ɐskɔft
134,adult,5,5,agolt,5,,ɐdʌlt,æɡoʊlt
135,adultery,8,8,adormery,8,,ɐdʌltɚɹi,ɐdɔːɹmɚɹi
136,adulthood,9,8,adoltheed,8,,ɐdʌlthʊd,ædoʊlthiːd
137,advance,7,6,aphance,6,,ɐdvæns,ɐfæns
138,advantage,9,8,advontare,8,,ɐdvæntɪdʒ,ædvəntɛɹ
139,advantageous,12,10,adranmagauge,10,,ɐdvɐnteɪdʒəs,ɐdɹænmɐɡɔːdʒ
140,adventure,9,8,advintude,9,,ɐdvɛntʃɚ,ɐdvɪntuːd
141,adverb,6,6,abcorb,6,,ædvɜːb,ɐbkɔːɹb
142,adverse,7,6,abvorse,6,,ædvɜːs,ɐbvɔːɹs
143,adversity,9,9,admerliry,9,,ædvɚsᵻɾi,ɐdmɜːlaɪɚɹi
144,advertise,9,8,advortide,8,,ædvɚtaɪz,ædvəətaɪd
145,advertisement,13,12,adpertainlent,12,,ædvɚtaɪzmənt,ɐdpɚteɪnlənt
146,advertising,11,10,adpercasive,10,,ædvɚtaɪzɪŋ,ɐdpɚkeɪsɪv
147,advice,6,5,apwice,5,,ɐdvaɪs,ɐpwɪsɛ
148,advisable,9,9,advosably,9,,ɐdvaɪzəbəl,ædvəsəbli
149,advise,6,5,abnose,5,,ɐdvaɪz,ɐbnoʊz
150,advisement,10,9,advasemint,9,,ɐdvaɪzmənt,ɐdveɪsmɪnt
151,advisory,8,8,adridomy,8,,ɐdvaɪzɚɹi,ædɹɪdəmi
152,advocate,8,7,advucale,7,,ædvəkeɪt,ɐdvjuːkeɪl
153,aerial,6,5,aeroat,5,,ɛɹɪəl,ɛɹoʊæt
154,aerobic,7,6,aeribis,6,,ɛɹoʊbɪk,ɛɹɪbɪs
155,aeronautics,11,9,aeronailize,8,,ɛɹoʊnɔːɾɪks,ɛɹoʊneɪlaɪz
156,aerosol,7,6,aeisil,5,,ɛɹəsɑːl,iːɪsəl
157,aerospace,9,7,aeispade,6,,ɛɹoʊspeɪs,iːɪspeɪd
158,aesthetic,9,7,aethitin,6,,ɛsθɛɾɪk,iːθɪtɪn
159,afar,4,4,ahor,4,,ɐfɑːɹ,æhɚ
160,affair,6,4,affeon,5,,ɐfɛɹ,ɐfiːn
161,affect,6,5,afforn,5,,ɐfɛkt,ɐfɔːɹn
162,affection,9,7,afficlion,8,,ɐfɛkʃən,ɐfɪkliən
163,affiliate,9,7,afroliase,8,,ɐfɪlɪeɪt,æfɹoʊlɪeɪs
164,affinity,8,7,afranily,8,,ɐfɪnᵻɾi,ɐfɹænili
165,affirm,6,5,affape,4,,ɐfɜːm,ɐfeɪp
166,affirmation,11,9,affigrative,9,,æfɚmeɪʃən,ɐfɪɡɹətɪv
167,affirmative,11,9,affintatics,10,,ɐfɜːmətɪv,ɐfɪntæɾɪks
168,afford,6,5,affese,4,,ɐfɔːɹd,ɐfiːz
169,afghan,6,5,aubran,5,,æfɡæn,ɔːbɹən
170,aflame,6,5,aflime,5,,ɐfleɪm,ɐflaɪm
171,afloat,6,5,aprout,5,,ɐfloʊt,eɪpɹaʊt
172,afraid,6,5,afroid,5,,ɐfɹeɪd,æfɹoʊɪd
173,African,7,7,Afrocap,7,,æfɹɪkən,æfɹoʊkæp
174,afterbirth,10,9,aftenbarth,9,,æftɚbɜːθ,æftənbɑːɹθ
175,aftermath,9,8,aftenmith,8,,æftɚmæθ,æftənmɪθ
176,afternoon,9,8,aftennoop,8,,æftɚnuːn,æftənuːp
177,afterthought,12,8,aftenthearth,9,,æftɚθɔːt,æftənthɑːɹθ
178,afterward,9,9,aftenwarm,9,,æftɚwɚd,æftənwɔːɹm
179,age,3,2,afe,2,,eɪdʒ,ɐfɛ
180,aged,4,4,athed,3,,eɪdʒd,eɪðd
181,ageless,7,5,almness,6,,eɪdʒləs,ɑːmnəs
182,agency,6,6,agindy,6,,eɪdʒənsi,ædʒɪndi
183,agenda,6,6,aginba,6,,ɐdʒɛndə,ædʒɪnbə
184,agent,5,5,agish,4,,eɪdʒənt,eɪdʒɪʃ
185,aggravate,9,7,aggrovale,7,,æɡɹɐveɪt,ɐɡɹuːveɪl
186,aggravation,11,9,aggrosative,9,,æɡɹɐveɪʃən,ɐɡɹɑːsətɪv
187,aggregation,11,9,aggrodative,9,,æɡɹɪɡeɪʃən,ɐɡɹɑːdətɪv
188,aggression,10,7,aggrossive,7,,ɐɡɹɛʃən,ɐɡɹoʊsɪv
189,agile,5,4,abirt,5,,ædʒəl,æbɜːt
190,agility,7,7,amarily,7,,ædʒɪlᵻɾi,æmɛɹᵻli
191,agitate,7,6,agotake,6,,ædʒᵻteɪt,æɡəteɪk
192,agitation,9,8,agirative,8,,ædʒɪteɪʃən,ædʒɚɹətɪv
193,agitator,8,8,agiramor,8,,ædʒᵻteɪɾɚ,ædʒɚɹæmɚ
194,ago,3,3,ada,3,,ɐɡoʊ,eɪdə
195,agonize,7,6,aginaze,6,,æɡənaɪz,ædʒɪneɪz
196,agony,5,5,agiry,5,,æɡəni,æɡaɪɚɹi
197,agree,5,4,aglie,4,,ɐɡɹiː,ɐɡlaɪ
198,agreement,9,8,aggroomint,8,,ɐɡɹiːmənt,ɐɡɹuːmɪnt
199,agricultural,12,12,agrilipteral,12,,æɡɹɪkʌltʃɚɹəl,æɡɹɪlɪptɚɹəl
200,agriculture,11,10,agrocurtude,11,,æɡɹɪkʌltʃɚ,æɡɹəkɜːɾuːd
201,ahead,5,4,ahood,4,,ɐhɛd,ɐhʊd
202,ahoy,4,3,ahap,4,,ɐhɔɪ,æhæp
203,aid,3,2,arb,3,,eɪd,ɑːɹb
204,ail,3,2,aeng,2,,eɪl,iːŋ
205,ailment,7,6,ashdent,6,,eɪlmənt,æʃdənt
206,aim,3,2,aith,2,,eɪm,eɪθ
207,air,3,2,aif,2,,ɛɹ,eɪf
208,aircraft,8,7,ashspair,5,,ɛɹkɹæft,æʃspɛɹ
209,airlift,7,6,ainlink,6,,ɛɹlɪft,eɪnlɪŋk
210,airline,7,5,ailtine,5,,ɛɹlaɪn,eɪltiːn
211,airliner,8,7,airluner,7,,ɛɹlaɪnɚ,ɛɹljuːnɚ
212,airmail,7,5,ainstone,6,,ɛɹmeɪl,eɪnstoʊn
213,airplane,8,6,ashpline,6,,ɛɹpleɪn,æʃplaɪn
214,aisle,5,2,aip,2,,aɪəl,eɪp
215,ajar,4,4,ajor,4,,ɐdʒɑːɹ,ædʒɚ
216,alarm,5,5,alorg,5,,ɐlɑːɹm,ɐlɔːɹɡ
217,albatross,9,8,albitruss,8,,ælbɐtɹɔs,ælbɪtɹʌs
218,albino,6,6,albuna,6,,ælbaɪnoʊ,ælbuːnə
219,album,5,5,amrum,5,,ælbəm,æmɹəm
220,alcohol,7,7,alcuhil,7,,ælkəhɑːl,ælkjuːhɪl
221,alcoholic,9,9,alcapolit,9,,ælkəhɑːlɪk,ælkɐpɑːlɪt
222,alcoholism,10,11,alcojusize,9,,ælkəhoʊlɪzəm,ælkədʒuːsaɪz
223,alert,5,5,aterd,5,,ɐlɜːt,æɾɜːd
224,algae,5,4,alnoe,4,,ælɡiː,ɐlnoʊ
225,algebra,7,7,algobru,7,,ældʒᵻbɹə,ælɡəbɹuː
226,algebraic,9,9,almebroid,9,,ældʒɪbɹeɪɪk,ɔlmɪbɹɔɪd
227,alias,5,5,avios,5,,eɪliəs,eɪvɪoʊz
228,alibi,5,5,alobu,5,,ælᵻbaɪ,ɐlɑːbuː
229,alien,5,5,adion,5,,eɪliən,eɪdiən
230,alienable,9,9,aleadably,8,,eɪliənəbəl,ɐliːdəbli
231,alienate,8,7,alionake,7,,eɪliəneɪt,ælɪɑːneɪk
232,alienation,10,9,alearative,8,,eɪliəneɪʃən,ɐlɪɹətɪv
233,alike,5,4,ative,4,,ɐlaɪk,æɾɪv
234,alive,5,4,alyme,4,,ɐlaɪv,ælaɪm
235,allege,6,4,allind,5,,ɐlɛdʒ,ælɪnd
236,allegedly,9,8,allageppy,7,,ɐlɛdʒᵻdli,æleɪdʒəpi
237,allegiance,10,7,allopiance,8,,ɐliːdʒəns,æloʊpiəns
238,allergic,8,7,allorgim,7,,ɐlɜːdʒɪk,ælɔːɹdʒɪm
239,allergy,7,6,allordy,6,,ælɚdʒi,ælɔːɹdi
240,alley,5,3,attey,3,,æli,ɐtaɪ
241,alliance,8,6,astianes,7,,ɐlaɪəns,ɐstɪeɪnz
242,allied,6,4,alloon,4,,ælaɪd,æluːn
243,alligator,9,8,almibator,9,,ælᵻɡeɪɾɚ,ɔlmᵻbeɪɾɚ
244,alliteration,12,10,allitenative,10,,ɐlɪɾɚɹeɪʃən,ælaɪtənətɪv
245,allocate,8,6,allucale,6,,æləkeɪt,ɐluːkeɪl
246,allow,5,3,allim,4,,ɐlaʊ,ælɪm
247,alloy,5,3,appoy,3,,ælɔɪ,ɐpɔɪ
248,ally,4,3,asty,4,,ælaɪ,ɐstaɪ
249,almighty,8,6,almoughy,5,,ɔlmaɪɾi,ɔlmoʊi
250,almond,6,6,amfond,6,,ɔlmənd,æmfɑːnd
251,alone,5,4,atore,4,,ɐloʊn,æɾɚ
252,along,5,4,arang,4,,ɐlɔŋ,æɹæŋ
253,alongside,9,7,alingsade,7,,ɐlɔŋsaɪd,eɪlɪŋseɪd
254,aloud,5,4,atood,4,,ɐlaʊd,æɾuːd
255,alphabet,8,7,alphobit,7,,ælfəbɛt,ælphəbɪt
256,alphabetic,10,9,altrufitid,10,,ælfəbɛɾɪk,ɔːltɹuːfɪɾɪd
257,alphabetize,11,9,alphobitase,9,,ælfəbətaɪz,ælphəbaɪɾeɪs
258,alpine,6,5,aspone,5,,ælpaɪn,ɐspoʊn
259,altar,5,5,adtor,5,,ɔltɚ,ɐdtɔːɹ
260,alteration,10,9,alderitive,9,,ɔltɚɹeɪʃən,ɔːldɚɹᵻtɪv
261,alternate,9,8,altornale,9,,ɔːltɜːnət,ɔltɔːɹneɪl
262,alternation,11,10,aldermitive,10,,ɔltɚneɪʃən,ɔːldɚmᵻtɪv
263,alternative,11,10,alterdation,10,,ɔːltɜːnətɪv,ɔltɚdeɪʃən
264,altitude,8,8,altotade,7,,æltɪtuːd,æltoʊteɪd
265,alto,4,4,amlo,4,,æltoʊ,æmloʊ
266,altogether,10,9,almogerner,10,,ɔːltəɡɛðɚ,ɔlmoʊdʒɜːnɚ
267,aluminum,8,8,alucaniop,9,,ɐluːmɪnəm,ɐluːkɐnɪəp
268,amateur,7,6,amoteud,7,,æmətʃɚ,æmoʊtʌd
269,amateurish,10,9,amatierine,8,,æmətʃɚɹɪʃ,æmɐtɪɹiːn
270,amateurism,10,11,amacourism,10,,æmətʃɚɹɪzəm,æmɐkɜːɹɪzəm
271,amaze,5,4,alize,4,,ɐmeɪz,ɐlaɪz
272,amazon,6,6,amozin,6,,æmɐzɑːn,æməzɪn
273,ambassador,10,9,ambarrator,9,,ɐmbæsədɚ,æmbɐɹeɪɾɚ
274,amber,5,5,adser,5,,æmbɚ,ɐdsɜː
275,ambidextrous,12,13,ammidestruce,10,,æmbɪdɛkstɹəs,æmaɪdstɹuːs
276,ambiguity,9,11,amniroity,8,,æmbɪɡjuːɪɾi,æmnɪɹɔɪɾi
277,ambiguous,9,9,ambasuous,9,,æmbɪɡjuːəs,æmbæsjuːəs
278,ambition,8,7,ambotive,7,,æmbɪʃən,æmbətɪv
279,ambulance,9,9,ambalince,8,,æmbjʊləns,æmbɐlɪns
280,ambush,6,5,asbyne,5,,æmbʊʃ,ɐsbaɪn
281,amend,5,5,aband,5,,ɐmɛnd,ɐbænd
282,amendment,9,9,amindmint,9,,ɐmɛndmənt,æmaɪndmɪnt
283,amends,6,6,abands,6,,ɐmɛndz,ɐbændz
284,American,8,8,Aferimen,8,,ɐmɛɹɪkən,ɐfɛɹaɪmɛn
285,americanize,11,10,amerilanize,10,,ɐmɛɹɪkənaɪz,æmɚɹɪlənaɪz
286,amiable,7,7,amoaple,7,,eɪmiəbəl,æmoʊpəl
287,ammonia,7,6,ammunic,7,,æmoʊniə,æmjuːnɪk
288,ammunition,10,9,amturitive,10,,æmjuːnɪʃən,æmtʃɚɹᵻtɪv
289,amnesia,7,6,amnosid,7,,æmniːʒə,æmnəsɪd
290,amoeba,6,5,amoaga,5,,ɐmiːbə,æmoʊɡə
291,among,5,4,abung,4,,ɐmʌŋ,ɐbʌŋ
292,amount,6,5,aneant,5,,ɐmaʊnt,eɪnənt
293,amphibian,9,8,amphobiar,7,,æmfɪbiən,æmfoʊbaɪɚ
294,amphitheater,12,10,amphitreaten,11,,æmfɪθiːeɪɾɚ,æmfɪtɹiːʔn̩
295,ample,5,5,astle,5,,æmpəl,ɐslɛ
296,amplification,13,12,amplirization,12,,æmplɪfɪkeɪʃən,æmplɪɹᵻzeɪʃən
297,amplifier,9,9,amplufaer,10,,æmplɪfaɪɚ,æmpluːfɛɹ
298,amplify,7,7,ampludy,7,,æmplᵻfaɪ,æmplʌdi
299,amputate,8,8,ampotake,7,,æmpjuːteɪt,æmpəteɪk
300,amputation,10,10,ampalative,9,,æmpjuːteɪʃən,æmpɐlətɪv
301,amputee,7,7,ampotoo,6,,æmpjuːtiː,æmpətuː
302,amuse,5,5,anose,4,,ɐmjuːz,ænoʊz
303,anal,4,3,anit,4,,eɪnəl,ænɪt
304,analysis,8,8,anolysin,8,,ɐnæləsɪs,ænəlɪsɪn
305,analyst,7,7,anolast,7,,ænɐlɪst,ænəlæst
306,analytic,8,8,analetim,8,,ænɐlɪɾɪk,ænɐlɛɾɪm
307,analyze,7,5,anolaze,6,,ænɐlaɪz,ænəleɪz
308,anatomy,7,7,amicory,7,,ɐnæɾəmi,æmɪkɚɹi
309,ancestor,8,8,ancispor,8,,ænsɛstɚ,ænsɪspɚ
310,ancestral,9,9,ancispral,9,,ænsɛstɹəl,ænsɪspɹəl
311,anchor,6,5,abscar,6,,æŋkɚ,ɐbskɑːɹ
312,ancient,7,6,algount,6,,eɪntʃənt,ælɡaʊnt
313,anecdote,8,7,anicdate,7,,ænɪkdoʊt,ænɪkdeɪt
314,anemia,6,6,anumoa,6,,ɐniːmiə,ænuːmoʊə
315,anesthesia,10,8,anisthosin,9,,ænɪsθiːʒə,ænɪsθɑːsɪn
316,anesthetist,11,10,anisthotust,10,,ænɪsθɛɾɪst,ænɪsθɑːɾʌst
317,anew,4,4,anaw,3,,ɐnuː,ænɔː
318,angel,5,5,arbel,5,,eɪndʒəl,ɑːɹbəl
319,anger,5,5,arver,5,,æŋɡɚ,ɑːɹvɚ
320,angle,5,5,artle,5,,æŋɡəl,ɑːɹɾəl
321,angry,5,5,arfry,5,,æŋɡɹi,ɑːɹfɹi
322,anguish,7,6,algeare,5,,æŋɡwɪʃ,ælɡɪɹ
323,angular,7,8,angofer,7,,æŋɡjʊlɚ,æŋɡoʊfɚ
324,animal,6,6,anomil,6,,ænɪməl,ɐnɑːmɪl
325,animalism,9,10,anirenish,8,,ænɪməlɪzəm,ænɪɹɛnɪʃ
326,animate,7,6,anomake,6,,ænɪmeɪt,ɐnɑːmeɪk
327,animation,9,8,animitive,8,,ænɪmeɪʃən,ænɪmᵻtɪv
328,ankle,5,5,arcle,5,,æŋkəl,ɑːɹkəl
329,anklet,6,6,arsket,6,,æŋklɪt,ɑːɹskɪt
330,annex,5,5,armex,6,,ænɛks,ɑːɹmɛks
331,annihilate,10,7,annohulake,8,,ɐnaɪəleɪt,ænoʊhjʊleɪk
332,anniversary,11,10,annisermagy,10,,ænɪvɜːsɚɹi,ænɪsɚmædʒi
333,announce,8,5,alneeves,6,,ɐnaʊns,ɐlniːvz
334,annoy,5,3,annim,4,,ɐnɔɪ,ænɪm
335,annual,6,6,atruac,6,,ænjuːəl,ætɹuːæk
336,anonymous,9,8,amalygous,8,,ɐnɑːnəməs,ɐmɐlɪɡəs
337,anonymously,11,10,anonygously,10,,ɐnɑːnəməsli,ænənɪɡəsli
338,another,7,6,anortar,7,,ɐnʌðɚ,ænɔːɹɾɚ
339,answer,6,5,arsper,6,,ænsɚ,ɑːɹspɚ
340,answerable,10,9,antheraber,9,,ænsɚɹəbəl,ænθɚɹeɪbɚ
341,ant,3,3,ont,3,,ænt,ɑːnt
342,antarctic,9,9,antasklic,9,,æntɑːɹktɪk,æntæsklɪk
343,antelope,8,7,antolape,7,,æntɪloʊp,æntəleɪp
344,antenna,7,6,anteppa,6,,æntɛnə,æntɪpə
345,anterior,8,8,antodier,7,,æntiəɹɪɚ,æntədiɚ
346,anthem,6,5,arskim,6,,ænθəm,ɑːɹskɪm
347,anthropology,12,11,anthrocalomy,11,,ænθɹəpɑːlədʒi,ænθɹəkæləmi
348,anti,4,4,arto,4,,æntaɪ,ɑːɹɾoʊ
349,antibiotic,10,10,antifiuter,10,,æntɪbaɪɑːɾɪk,æntɪfɪjuːɾɚ
